# Data presented by Stoner (1945, Table I)
# m Da
0.1 0.860804
0.2 0.750484
0.3 0.661350
0.4 0.588154
0.5 0.527200
0.6 0.475826
0.7 0.432065
0.8 0.394440
0.9 0.361822
1.1 0.308285
1.2 0.286128
1.3 0.266420
1.4 0.248803
1.5 0.232981
1.6 0.218713
1.7 0.205794
1.8 0.194056
2.0 0.176564
2.1 0.164585
2.2 0.156326
2.3 0.148710
2.4 0.141669
2.5 0.135146
2.6 0.129090
2.7 0.123455
2.8 0.118203
2.9 0.113298
3.0 0.108709
3.1 0.104410
3.2 0.100376
3.3 0.096584
3.4 0.093015
3.5 0.089651
3.6 0.086477
3.7 0.083478
3.8 0.080641
3.9 0.077954
4.0 0.075407
4.1 0.072990
4.2 0.070693
4.3 0.068509
4.4 0.066431
4.5 0.064450
4.6 0.062562
4.7 0.060760
4.8 0.059039
4.9 0.057394
5.0 0.055821
5.5 0.048890
6.0 0.043230
6.5 0.038541
7.0 0.034609
7.5 0.031275
8.0 0.028421
8.5 0.025958
9.0 0.023816
9.5 0.021939
10 0.020286
11 0.017515
12 0.015297
13 0.013490
14 0.011997 
15 0.010749
16 0.009692
17 0.008790
18 0.008013
19 0.007339
20 0.006749
21 0.006230
22 0.005771
23 0.005363
24 0.004998
25 0.004671
30 0.003444
35 0.002655
40 0.002116
45 0.001730
50 0.001443
60 0.001053
70 0.000805
80 0.000637
90 0.000518
100 0.000430
110 0.000363
120 0.000311
130 0.000270
140 0.000236
150 0.000209
200 0.000125
250 0.000083
300 0.000060
350 0.000045
400 0.000036
500 0.000024
600 0.000017
700 0.000013
800 0.000010
900 0.000008
1000 0.000007 
1100 0.000006
1200 0.000005
1300 0.000004
